timestamp	project_id	experiment_id	variation_id	user_id	end_user_id	ppid	user_ip	revenue	event_name	Mobile Visitors	Browser	Source Type
2016-06-16T22:15:41.690Z	6265170402	6260120514	6268640921	5350608838600932600	oeu1466019878375r0.2580454468254141		2602:304:ce19:40d0:a122:14c6:cc9c:6b2d	0	https://angelic-bazaar-634.appspot.com/kairx2.html	false	gc	referral
2016-06-16T22:15:47.890Z	6265170402	6260120514	6268640921	5350608838600932600	oeu1466019878375r0.2580454468254141		2602:304:ce19:40d0:a122:14c6:cc9c:6b2d	0	clicks_on_emr	false	gc	referral
2016-06-16T22:15:47.896Z	6265170402	6260120514	6268640921	5350608838600932600	oeu1466019878375r0.2580454468254141		2602:304:ce19:40d0:a122:14c6:cc9c:6b2d	0	engagement	false	gc	referral
2016-06-16T22:15:59.022Z	6265170402	6260120514	6268640921	5350608838600932600	oeu1466019878375r0.2580454468254141		2602:304:ce19:40d0:a122:14c6:cc9c:6b2d	0	https://angelic-bazaar-634.appspot.com/kairx1.html	false	gc	referral
2016-06-16T22:16:03.433Z	6265170402	6260120514	6268640921	5350608838600932600	oeu1466019878375r0.2580454468254141		2602:304:ce19:40d0:a122:14c6:cc9c:6b2d	0	engagement	false	gc	referral
2016-06-16T22:16:05.351Z	6265170402	6260120514	6268640921	5350608838600932600	oeu1466019878375r0.2580454468254141		2602:304:ce19:40d0:a122:14c6:cc9c:6b2d	0	emr_clicks	false	gc	referral
2016-06-16T22:29:42.566Z	6265170402	6260120514	6268640921	5350608838600932600	oeu1466019878375r0.2580454468254141		76.225.148.13	0	https://angelic-bazaar-634.appspot.com/kairx1.html	false	gc	referral
2016-06-16T22:29:47.771Z	6265170402	6260120514	6268640921	5350608838600932600	oeu1466019878375r0.2580454468254141		76.225.148.13	0	emr_clicks	false	gc	referral
2016-06-16T22:29:47.779Z	6265170402	6260120514	6268640921	5350608838600932600	oeu1466019878375r0.2580454468254141		76.225.148.13	0	engagement	false	gc	referral
2016-06-16T22:29:54.259Z	6265170402	6260120514	6268640921	5350608838600932600	oeu1466019878375r0.2580454468254141		76.225.148.13	0	https://angelic-bazaar-634.appspot.com/kairx2.html	false	gc	referral
2016-06-16T22:29:57.079Z	6265170402	6260120514	6268640921	5350608838600932600	oeu1466019878375r0.2580454468254141		76.225.148.13	0	clicks_on_emr	false	gc	referral
